transaction_id,amount,transaction_type,sender_bank,receiver_bank,location,timestamp,hour,day_of_week,is_night,device_score,velocity,is_new_device,is_round_amount,location_change,is_fraud,amount_log,amount_anomaly,hour_sin,hour_cos,risk_score
TXN746302670,22893.51,P2P,ICICI,BOB,Jaipur,2024-05-08T08:45:35,8,2,0,31.798662300036906,1,0,0,0,0,10.038652422809319,2.6127598621478283,0.8660254037844387,-0.4999999999999998,15.219464920014763
TXN736764969,50.0,P2M,PNB,BOB,Pune,2024-04-13T13:43:39,13,5,0,19.945358250002876,3,0,0,0,0,3.9318256327243257,0.5048967525062706,-0.2588190451025208,-0.9659258262890683,15.47814330000115
TXN513315320,322.48,QR,Kotak,PNB,Hyderabad,2024-05-12T16:21:10,16,6,0,43.64740565819248,2,0,0,0,0,5.779137288227622,0.4677089878255824,-0.8660254037844384,-0.5000000000000004,22.458962263276995
TXN505069735,69.11,QR,ICICI,Kotak,Mumbai,2024-08-26T20:35:15,20,0,0,21.50915664084166,1,1,0,1,0,4.250065437218876,0.5022886411474629,-0.8660254037844386,0.5000000000000001,41.10366265633667
TXN288568865,254.17,P2M,SBI,Kotak,Mumbai,2024-11-13T17:55:42,17,2,0,10.791155377572931,2,0,0,0,0,5.541929989701587,0.47703185998257674,-0.9659258262890683,-0.25881904510252063,9.316462151029173
TXN914011181,6135.49,Auto-Pay,SBI,ICICI,Chennai,2024-04-23T09:16:25,9,1,0,33.34400309468175,1,0,0,0,0,8.722008196442818,0.32564409484649487,0.7071067811865476,-0.7071067811865475,15.837601237872702
TXN770367661,921.98,P2P,Axis,Kotak,Ahmedabad,2024-01-21T17:09:22,17,6,0,38.75772668580254,3,0,0,0,0,6.827607565795715,0.38588990045743576,-0.9659258262890683,-0.25881904510252063,23.003090674321015
TXN951923447,397.77,P2P,SBI,BOB,Mumbai,2024-02-18T16:06:17,16,6,0,27.271570456329183,3,0,0,0,0,5.988384809581059,0.45743349310006487,-0.8660254037844384,-0.5000000000000004,18.40862818253167
TXN456043620,404.02,P2M,BOB,Axis,Mumbai,2024-07-04T10:36:42,10,3,0,19.53704754761651,2,0,0,0,0,6.0039364486033024,0.4565805001124904,0.49999999999999994,-0.8660254037844387,12.814819019046604
TXN791851567,4867.97,P2M,Kotak,HDFC,Lucknow,2024-05-13T12:32:18,12,0,0,20.990013146424435,3,0,0,0,0,8.490637694734268,0.15265438738882472,1.2246467991473532e-16,-1.0,15.896005258569774
TXN218808798,210.74,P2M,ICICI,Kotak,Lucknow,2024-04-11T16:41:46,16,3,0,32.442915024404876,3,0,0,0,0,5.355359106915234,0.48295913765463444,-0.8660254037844384,-0.5000000000000004,20.47716600976195
TXN484201975,149.68,P2P,ICICI,SBI,Jaipur,2024-12-06T16:27:46,16,4,0,18.470772799330703,1,0,0,0,0,5.015158382823841,0.4912925379460424,-0.8660254037844384,-0.5000000000000004,9.88830911973228
TXN455833921,330.2,P2P,Axis,BOB,Delhi,2024-08-04T11:47:46,11,6,0,31.570314945577458,1,1,0,0,0,5.8027224225111045,0.4666553708873304,0.258819045102521,-0.9659258262890682,35.12812597823098
TXN946835210,600.67,Auto-Pay,BOB,BOB,Mumbai,2024-06-30T14:59:45,14,6,0,12.236896233219937,3,0,0,0,0,6.39970912224973,0.42974192875144607,-0.4999999999999997,-0.8660254037844388,12.394758493287975
TXN788923682,169.23,QR,ICICI,BOB,Kolkata,2024-09-20T17:59:21,17,4,0,43.1513227439216,2,0,0,0,0,5.137150463826479,0.48862437588090935,-0.9659258262890683,-0.25881904510252063,22.26052909756864
TXN711299721,50.0,P2M,HDFC,Axis,Mumbai,2024-06-17T17:07:29,17,0,0,18.379738084271597,3,0,0,0,0,3.9318256327243257,0.5048967525062706,-0.9659258262890683,-0.25881904510252063,14.851895233708639
TXN539876455,901.0,P2P,Axis,SBI,Jaipur,2024-04-01T18:34:14,18,0,0,19.510848076956858,3,0,0,0,0,6.804614520062624,0.38875322731812584,-1.0,-1.8369701987210297e-16,15.304339230782745
TXN357727102,56.67,QR,ICICI,ICICI,Lucknow,2024-02-28T20:59:21,20,2,0,22.682422783804824,2,0,0,0,0,4.0547371076273215,0.5039864383899312,-0.8660254037844386,0.5000000000000001,14.07296911352193
TXN413844069,555.41,P2P,ICICI,Kotak,Chennai,2024-11-04T11:48:24,11,0,0,28.580092136452148,1,0,0,0,0,6.321505432569305,0.43591896277026565,0.258819045102521,-0.9659258262890682,13.93203685458086
TXN501519335,9118.02,P2P,PNB,SBI,Ahmedabad,2024-05-11T19:58:07,19,5,0,28.802286278821104,3,0,0,0,0,9.118117621154202,0.73269644288339,-0.9659258262890684,0.2588190451025203,19.020914511528442
TXN817194508,50.0,QR,ICICI,HDFC,Lucknow,2024-08-11T11:53:02,11,6,0,31.894475390287113,2,1,0,0,0,3.9318256327243257,0.5048967525062706,0.258819045102521,-0.9659258262890682,37.757790156114844
TXN195419918,588.97,P2M,SBI,Kotak,Pune,2024-09-13T20:53:15,20,4,0,43.24660205863655,3,0,0,0,0,6.380071688149362,0.4313387316241856,-0.8660254037844386,0.5000000000000001,24.79864082345462
TXN250277944,1935.28,P2P,PNB,Kotak,Hyderabad,2024-05-25T14:00:02,14,5,0,31.212264366472123,2,0,0,0,0,7.5685238854780605,0.24759585336795611,-0.4999999999999997,-0.8660254037844388,17.48490574658885
TXN171066738,169.53,P2P,SBI,Axis,Hyderabad,2024-02-12T15:12:20,15,0,0,13.634378513882465,3,0,0,0,0,5.138911234324823,0.4885834322175057,-0.7071067811865471,-0.7071067811865479,12.953751405552985
TXN492182747,15000.0,P2P,BOB,PNB,Mumbai,2024-07-15T18:01:00,18,0,0,71.96750132988942,4,1,1,1,1,9.61587214452889,1.5354624737719493,-1.0,-1.8369701987210297e-16,68.78700053195577
TXN947150785,9691.93,P2M,Axis,SBI,Chennai,2024-08-02T19:09:33,19,4,0,20.147366692155998,2,0,0,0,0,9.179152032760145,0.8110230357632116,-0.9659258262890684,0.2588190451025203,13.0589466768624
